participant_id,prolific_id,timestamp_iso,trial_index,block,trial_id,audio_file,audio_url,target_image,distractor_image,target_side,left_image,right_image,choice,choice_image,is_correct,reaction_time_ms,headphone_type,timestamp_iso,recognize,understand,meaning_match,msa_dialect,natural,dialect_best,dialect_second,understand_other,msa_instruction,msa_vowels,msa_reading,msa_listening,other_languages,percent_english,percent_arabic,percent_other,language_switching,family_preference,age,gender,country_of_residence,attention_audio,attention_response,attention_index,final_feedback,completion_code
asdfasdfads,asdfasdfads,,4,Trials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
asdfasdfads,asdfasdfads,,,AttentionCheck,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
asdfasdfads,asdfasdfads,,5,Trials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kjohwrjnvaljnv,kjohwrjnvaljnv,,,AttentionCheck,,,,,,,,,,,,,erohnoistjn,2026-01-25T23:31:30.100Z,,,,,,,,,,,,,,,,,,,,,,,,,,
kjohwrjnvaljnv,kjohwrjnvaljnv,,1,Trials,5,jʊʔarːɪb-b.wav,http://127.0.0.1:5500/data/audio/j%CA%8A%CA%94ar%CB%90%C9%AAb-b.wav,4.png,99.png,right,99.png,4.png,right,4.png,yes,894,erohnoistjn,2026-01-25T23:31:34.039Z,,,,,,,,,,,,,,,,,,,,,,,,,,
kjohwrjnvaljnv,kjohwrjnvaljnv,,2,Trials,280,jakʊfː-b.wav,http://127.0.0.1:5500/data/audio/jak%CA%8Af%CB%90-b.wav,113.png,18.png,left,113.png,18.png,left,113.png,yes,493,erohnoistjn,2026-01-25T23:31:37.990Z,,,,,,,,,,,,,,,,,,,,,,,,,,
thyhyhyhy,thyhyhyhy,,,AttentionCheck,,,,,,,,,,,,,dykyfjhsb,2026-01-25T23:34:24.815Z,,,,,,,,,,,,,,,,,,,,,,,,,,
thyhyhyhy,thyhyhyhy,,1,Trials,279,jakʊfː-b.wav,http://127.0.0.1:5500/data/audio/jak%CA%8Af%CB%90-b.wav,113.png,18.png,left,113.png,18.png,right,18.png,no,1120,dykyfjhsb,2026-01-25T23:34:30.371Z,,,,,,,,,,,,,,,,,,,,,,,,,,
dgbsrtbb,dgbsrtbb,,,AttentionCheck,,,,,,,,,,,,,hdrthbsfgb,2026-01-27T17:23:44.167Z,,,,,,,,,,,,,,,,,,,,,,,,,,
dgbsrtbb,dgbsrtbb,,1,Trials,199,199_creaky.wav,http://127.0.0.1:5500/data/audio/199_creaky.wav,60.png,155.png,left,60.png,155.png,right,155.png,no,663,hdrthbsfgb,2026-01-27T17:23:50.797Z,,,,,,,,,,,,,,,,,,,,,,,,,,
dgbsrtbb,dgbsrtbb,,2,Trials,115,115_non-creaky.wav,http://127.0.0.1:5500/data/audio/115_non-creaky.wav,143.png,48.png,left,143.png,48.png,left,143.png,yes,378,hdrthbsfgb,2026-01-27T17:23:53.947Z,,,,,,,,,,,,,,,,,,,,,,,,,,
dgbsrtbb,dgbsrtbb,,3,Trials,240,240_creaky.wav,http://127.0.0.1:5500/data/audio/240_creaky.wav,109.png,14.png,right,14.png,109.png,right,109.png,yes,308,hdrthbsfgb,2026-01-27T17:23:57.063Z,,,,,,,,,,,,,,,,,,,,,,,,,,
dgbsrtbb,dgbsrtbb,,4,Trials,210,210_creaky.wav,http://127.0.0.1:5500/data/audio/210_creaky.wav,73.png,168.png,right,168.png,73.png,left,168.png,no,358,hdrthbsfgb,2026-01-27T17:24:00.385Z,,,,,,,,,,,,,,,,,,,,,,,,,,
tgsetrgsbrtgbh,tgsetrgsbrtgbh,,,AttentionCheck,,,,,,,,,,,,,rhbrdthstrh,2026-01-27T17:49:45.476Z,,,,,,,,,,,,,,,,,,,,,,,,,,
sthsethstrg,sthsethstrg,,,AttentionCheck,,,,,,,,,,,,,esgrtgsr,2026-01-27T17:50:56.192Z,,,,,,,,,,,,,,,,,,,,,,,,,,
sthsethstrg,sthsethstrg,,1,Trials,60,60_non-creaky.wav,http://127.0.0.1:5500/data/audio/60_non-creaky.wav,65.png,160.png,left,65.png,160.png,right,160.png,no,2009,esgrtgsr,2026-01-27T17:51:02.751Z,,,,,,,,,,,,,,,,,,,,,,,,,,
sthsethstrg,sthsethstrg,,2,Trials,70,70_non-creaky.wav,http://127.0.0.1:5500/data/audio/70_non-creaky.wav,73.png,168.png,left,73.png,168.png,left,73.png,yes,468,esgrtgsr,2026-01-27T17:51:05.861Z,,,,,,,,,,,,,,,,,,,,,,,,,,
sthsethstrg,sthsethstrg,,3,Trials,143,143_non-creaky.wav,http://127.0.0.1:5500/data/audio/143_non-creaky.wav,181.png,86.png,left,181.png,86.png,right,86.png,no,801,esgrtgsr,2026-01-27T17:51:09.501Z,,,,,,,,,,,,,,,,,,,,,,,,,,
sthsethstrg,sthsethstrg,,4,Trials,136,136_non-creaky.wav,http://127.0.0.1:5500/data/audio/136_non-creaky.wav,169.png,74.png,right,74.png,169.png,left,74.png,no,1209,esgrtgsr,2026-01-27T17:51:13.867Z,,,,,,,,,,,,,,,,,,,,,,,,,,
sthsethstrg,sthsethstrg,,5,Trials,68,68_non-creaky.wav,http://127.0.0.1:5500/data/audio/68_non-creaky.wav,75.png,165.png,left,75.png,165.png,right,165.png,no,469,esgrtgsr,2026-01-27T17:51:16.851Z,,,,,,,,,,,,,,,,,,,,,,,,,,
sthsethstrg,sthsethstrg,,6,Trials,202,202_creaky.wav,http://127.0.0.1:5500/data/audio/202_creaky.wav,63.png,158.png,right,158.png,63.png,left,158.png,no,395,esgrtgsr,2026-01-27T17:51:20.731Z,,,,,,,,,,,,,,,,,,,,,,,,,,
sthsethstrg,sthsethstrg,,7,Trials,42,42_non-creaky.wav,http://127.0.0.1:5500/data/audio/42_non-creaky.wav,44.png,139.png,right,139.png,44.png,right,44.png,yes,669,esgrtgsr,2026-01-27T17:51:23.982Z,,,,,,,,,,,,,,,,,,,,,,,,,,
sthsethstrg,sthsethstrg,,8,Trials,273,273_creaky.wav,http://127.0.0.1:5500/data/audio/273_creaky.wav,160.png,65.png,right,65.png,160.png,left,65.png,no,385,esgrtgsr,2026-01-27T17:51:27.384Z,,,,,,,,,,,,,,,,,,,,,,,,,,
sthsethstrg,sthsethstrg,,9,Trials,283,283_creaky.wav,http://127.0.0.1:5500/data/audio/283_creaky.wav,177.png,82.png,right,82.png,177.png,right,177.png,yes,491,esgrtgsr,2026-01-27T17:51:30.596Z,,,,,,,,,,,,,,,,,,,,,,,,,,
sthsethstrg,sthsethstrg,,10,Trials,211,211_creaky.wav,http://127.0.0.1:5500/data/audio/211_creaky.wav,74.png,169.png,left,74.png,169.png,left,74.png,yes,508,esgrtgsr,2026-01-27T17:51:34.376Z,,,,,,,,,,,,,,,,,,,,,,,,,,
sthsethstrg,sthsethstrg,,,AttentionCheck,,,,,,,,,,,,,esgrtgsr,2026-01-27T17:51:37.445Z,,,,,,,,,,,,,,,,,,,,,,,,,,
sthsethstrg,sthsethstrg,,11,Trials,88,88_non-creaky.wav,http://127.0.0.1:5500/data/audio/88_non-creaky.wav,96.png,1.png,left,96.png,1.png,right,1.png,no,605,esgrtgsr,2026-01-27T17:51:41.542Z,,,,,,,,,,,,,,,,,,,,,,,,,,
sthsethstrg,sthsethstrg,,12,Trials,37,37_non-creaky.wav,http://127.0.0.1:5500/data/audio/37_non-creaky.wav,36.png,131.png,left,36.png,131.png,left,36.png,yes,634,esgrtgsr,2026-01-27T17:51:45.268Z,,,,,,,,,,,,,,,,,,,,,,,,,,
sthsethstrg,sthsethstrg,,13,Trials,256,256_creaky.wav,http://127.0.0.1:5500/data/audio/256_creaky.wav,139.png,44.png,left,139.png,44.png,right,44.png,no,549,esgrtgsr,2026-01-27T17:51:48.716Z,,,,,,,,,,,,,,,,,,,,,,,,,,
sthsethstrg,sthsethstrg,,14,Trials,89,89_non-creaky.wav,http://127.0.0.1:5500/data/audio/89_non-creaky.wav,98.png,3.png,left,98.png,3.png,right,3.png,no,540,esgrtgsr,2026-01-27T17:51:52.026Z,,,,,,,,,,,,,,,,,,,,,,,,,,
sthsethstrg,sthsethstrg,,15,Trials,34,34_non-creaky.wav,http://127.0.0.1:5500/data/audio/34_non-creaky.wav,34.png,129.png,right,129.png,34.png,left,129.png,no,1026,esgrtgsr,2026-01-27T17:51:56.725Z,,,,,,,,,,,,,,,,,,,,,,,,,,
sthsethstrg,sthsethstrg,,16,Trials,31,31_non-creaky.wav,http://127.0.0.1:5500/data/audio/31_non-creaky.wav,30.png,125.png,left,30.png,125.png,right,125.png,no,748,esgrtgsr,2026-01-27T17:51:59.933Z,,,,,,,,,,,,,,,,,,,,,,,,,,
sthsethstrg,sthsethstrg,,17,Trials,186,186_creaky.wav,http://127.0.0.1:5500/data/audio/186_creaky.wav,44.png,139.png,right,139.png,44.png,left,139.png,no,488,esgrtgsr,2026-01-27T17:52:02.921Z,,,,,,,,,,,,,,,,,,,,,,,,,,
sthsethstrg,sthsethstrg,,18,Trials,151,151_creaky.wav,http://127.0.0.1:5500/data/audio/151_creaky.wav,4.png,101.png,right,101.png,4.png,right,4.png,yes,391,esgrtgsr,2026-01-27T17:52:06.117Z,,,,,,,,,,,,,,,,,,,,,,,,,,
sthsethstrg,sthsethstrg,,19,Trials,25,25_non-creaky.wav,http://127.0.0.1:5500/data/audio/25_non-creaky.wav,25.png,120.png,left,25.png,120.png,left,25.png,yes,302,esgrtgsr,2026-01-27T17:52:09.048Z,,,,,,,,,,,,,,,,,,,,,,,,,,
sthsethstrg,sthsethstrg,,20,Trials,16,16_non-creaky.wav,http://127.0.0.1:5500/data/audio/16_non-creaky.wav,16.png,112.png,right,112.png,16.png,right,16.png,yes,715,esgrtgsr,2026-01-27T17:52:12.497Z,,,,,,,,,,,,,,,,,,,,,,,,,,
sthsethstrg,sthsethstrg,,,AttentionCheck,,,,,,,,,,,,,esgrtgsr,2026-01-27T17:52:19.570Z,,,,,,,,,,,,,,,,,,,,,,,,,,
sthsethstrg,sthsethstrg,,21,Trials,197,197_creaky.wav,http://127.0.0.1:5500/data/audio/197_creaky.wav,56.png,151.png,right,151.png,56.png,right,56.png,yes,1112,esgrtgsr,2026-01-27T17:52:24.443Z,,,,,,,,,,,,,,,,,,,,,,,,,,
sthsethstrg,sthsethstrg,,22,Trials,50,50_non-creaky.wav,http://127.0.0.1:5500/data/audio/50_non-creaky.wav,53.png,148.png,left,53.png,148.png,left,53.png,yes,865,esgrtgsr,2026-01-27T17:52:27.916Z,,,,,,,,,,,,,,,,,,,,,,,,,,
sthsethstrg,sthsethstrg,,23,Trials,95,95_non-creaky.wav,http://127.0.0.1:5500/data/audio/95_non-creaky.wav,107.png,12.png,left,107.png,12.png,right,12.png,no,854,esgrtgsr,2026-01-27T17:52:31.351Z,,,,,,,,,,,,,,,,,,,,,,,,,,
sthsethstrg,sthsethstrg,,24,Trials,183,183_creaky.wav,http://127.0.0.1:5500/data/audio/183_creaky.wav,40.png,135.png,left,40.png,135.png,left,40.png,yes,812,esgrtgsr,2026-01-27T17:52:34.683Z,,,,,,,,,,,,,,,,,,,,,,,,,,
sthsethstrg,sthsethstrg,,25,Trials,277,277_creaky.wav,http://127.0.0.1:5500/data/audio/277_creaky.wav,165.png,70.png,left,165.png,70.png,right,70.png,no,576,esgrtgsr,2026-01-27T17:52:37.716Z,,,,,,,,,,,,,,,,,,,,,,,,,,
sthsethstrg,sthsethstrg,,26,Trials,255,255_creaky.wav,http://127.0.0.1:5500/data/audio/255_creaky.wav,137.png,42.png,left,137.png,42.png,left,137.png,yes,637,esgrtgsr,2026-01-27T17:52:40.495Z,,,,,,,,,,,,,,,,,,,,,,,,,,
sthsethstrg,sthsethstrg,,27,Trials,7,7_non-creaky.wav,http://127.0.0.1:5500/data/audio/7_non-creaky.wav,4.png,101.png,right,101.png,4.png,right,4.png,yes,355,esgrtgsr,2026-01-27T17:52:43.276Z,,,,,,,,,,,,,,,,,,,,,,,,,,
pfjawrfpajwrd,pfjawrfpajwrd,,,AttentionCheck,,,,,,,,,,,,,aldksfjgakrj;fa,2026-01-27T18:00:42.918Z,,,,,,,,,,,,,,,,,,,,,,,,,,
pfjawrfpajwrd,pfjawrfpajwrd,,1,Trials,142,142_non-creaky.wav,http://127.0.0.1:5500/data/audio/142_non-creaky.wav,180.png,85.png,left,180.png,85.png,right,85.png,no,637,aldksfjgakrj;fa,2026-01-27T18:00:47.307Z,,,,,,,,,,,,,,,,,,,,,,,,,,
pfjawrfpajwrd,pfjawrfpajwrd,,2,Trials,164,164_creaky.wav,http://127.0.0.1:5500/data/audio/164_creaky.wav,20.png,115.png,left,20.png,115.png,left,20.png,yes,468,aldksfjgakrj;fa,2026-01-27T18:00:50.573Z,,,,,,,,,,,,,,,,,,,,,,,,,,
pfjawrfpajwrd,pfjawrfpajwrd,,3,Trials,26,26_non-creaky.wav,http://127.0.0.1:5500/data/audio/26_non-creaky.wav,26.png,121.png,left,26.png,121.png,right,121.png,no,299,aldksfjgakrj;fa,2026-01-27T18:00:53.539Z,,,,,,,,,,,,,,,,,,,,,,,,,,
pfjawrfpajwrd,pfjawrfpajwrd,,4,Trials,22,22_non-creaky.wav,http://127.0.0.1:5500/data/audio/22_non-creaky.wav,22.png,117.png,right,117.png,22.png,left,117.png,no,317,aldksfjgakrj;fa,2026-01-27T18:00:56.725Z,,,,,,,,,,,,,,,,,,,,,,,,,,
pfjawrfpajwrd,pfjawrfpajwrd,,5,Trials,214,214_creaky.wav,http://127.0.0.1:5500/data/audio/214_creaky.wav,73.png,168.png,left,73.png,168.png,right,168.png,no,272,aldksfjgakrj;fa,2026-01-27T18:00:59.593Z,,,,,,,,,,,,,,,,,,,,,,,,,,
pfjawrfpajwrd,pfjawrfpajwrd,,6,Trials,205,205_creaky.wav,http://127.0.0.1:5500/data/audio/205_creaky.wav,67.png,162.png,right,162.png,67.png,left,162.png,no,347,aldksfjgakrj;fa,2026-01-27T18:01:02.985Z,,,,,,,,,,,,,,,,,,,,,,,,,,
pfjawrfpajwrd,pfjawrfpajwrd,,7,Trials,111,111_non-creaky.wav,http://127.0.0.1:5500/data/audio/111_non-creaky.wav,137.png,42.png,right,42.png,137.png,right,137.png,yes,484,aldksfjgakrj;fa,2026-01-27T18:01:05.908Z,,,,,,,,,,,,,,,,,,,,,,,,,,
pfjawrfpajwrd,pfjawrfpajwrd,,8,Trials,181,181_creaky.wav,http://127.0.0.1:5500/data/audio/181_creaky.wav,36.png,131.png,right,131.png,36.png,left,131.png,no,340,aldksfjgakrj;fa,2026-01-27T18:01:09.253Z,,,,,,,,,,,,,,,,,,,,,,,,,,
pfjawrfpajwrd,pfjawrfpajwrd,,9,Trials,194,194_creaky.wav,http://127.0.0.1:5500/data/audio/194_creaky.wav,53.png,148.png,left,53.png,148.png,right,148.png,no,319,aldksfjgakrj;fa,2026-01-27T18:01:12.185Z,,,,,,,,,,,,,,,,,,,,,,,,,,
pfjawrfpajwrd,pfjawrfpajwrd,,10,Trials,13,13_non-creaky.wav,http://127.0.0.1:5500/data/audio/13_non-creaky.wav,12.png,107.png,left,12.png,107.png,left,12.png,yes,453,aldksfjgakrj;fa,2026-01-27T18:01:15.083Z,,,,,,,,,,,,,,,,,,,,,,,,,,
pfjawrfpajwrd,pfjawrfpajwrd,,11,Trials,180,180_creaky.wav,http://127.0.0.1:5500/data/audio/180_creaky.wav,36.png,131.png,right,131.png,36.png,right,36.png,yes,370,aldksfjgakrj;fa,2026-01-27T18:01:18.252Z,,,,,,,,,,,,,,,,,,,,,,,,,,
pfjawrfpajwrd,pfjawrfpajwrd,,12,Trials,72,72_non-creaky.wav,http://127.0.0.1:5500/data/audio/72_non-creaky.wav,80.png,175.png,right,175.png,80.png,left,175.png,no,432,aldksfjgakrj;fa,2026-01-27T18:01:21.122Z,,,,,,,,,,,,,,,,,,,,,,,,,,
pfjawrfpajwrd,pfjawrfpajwrd,,13,Trials,286,286_creaky.wav,http://127.0.0.1:5500/data/audio/286_creaky.wav,180.png,85.png,right,85.png,180.png,right,180.png,yes,428,aldksfjgakrj;fa,2026-01-27T18:01:24.218Z,,,,,,,,,,,,,,,,,,,,,,,,,,
pfjawrfpajwrd,pfjawrfpajwrd,,14,Trials,156,156_creaky.wav,http://127.0.0.1:5500/data/audio/156_creaky.wav,12.png,107.png,left,12.png,107.png,left,12.png,yes,375,aldksfjgakrj;fa,2026-01-27T18:01:27.306Z,,,,,,,,,,,,,,,,,,,,,,,,,,
pfjawrfpajwrd,pfjawrfpajwrd,,15,Trials,1,1_non-creaky.wav,http://127.0.0.1:5500/data/audio/1_non-creaky.wav,1.png,96.png,left,1.png,96.png,right,96.png,no,328,aldksfjgakrj;fa,2026-01-27T18:01:30.233Z,,,,,,,,,,,,,,,,,,,,,,,,,,
pfjawrfpajwrd,pfjawrfpajwrd,,16,Trials,86,86_non-creaky.wav,http://127.0.0.1:5500/data/audio/86_non-creaky.wav,86.png,181.png,left,86.png,181.png,left,86.png,yes,541,aldksfjgakrj;fa,2026-01-27T18:01:33.184Z,,,,,,,,,,,,,,,,,,,,,,,,,,
pfjawrfpajwrd,pfjawrfpajwrd,,17,Trials,176,176_creaky.wav,http://127.0.0.1:5500/data/audio/176_creaky.wav,32.png,127.png,left,32.png,127.png,right,127.png,no,756,aldksfjgakrj;fa,2026-01-27T18:01:36.321Z,,,,,,,,,,,,,,,,,,,,,,,,,,
pfjawrfpajwrd,pfjawrfpajwrd,,18,Trials,144,144_non-creaky.wav,http://127.0.0.1:5500/data/audio/144_non-creaky.wav,182.png,87.png,right,87.png,182.png,left,87.png,no,483,aldksfjgakrj;fa,2026-01-27T18:01:39.357Z,,,,,,,,,,,,,,,,,,,,,,,,,,
pfjawrfpajwrd,pfjawrfpajwrd,,19,Trials,33,33_non-creaky.wav,http://127.0.0.1:5500/data/audio/33_non-creaky.wav,32.png,127.png,left,32.png,127.png,right,127.png,no,472,aldksfjgakrj;fa,2026-01-27T18:01:42.321Z,,,,,,,,,,,,,,,,,,,,,,,,,,
pfjawrfpajwrd,pfjawrfpajwrd,,20,Trials,114,114_non-creaky.wav,http://127.0.0.1:5500/data/audio/114_non-creaky.wav,142.png,47.png,left,142.png,47.png,left,142.png,yes,388,aldksfjgakrj;fa,2026-01-27T18:01:45.097Z,,,,,,,,,,,,,,,,,,,,,,,,,,
pfjawrfpajwrd,pfjawrfpajwrd,,21,Trials,191,191_creaky.wav,http://127.0.0.1:5500/data/audio/191_creaky.wav,50.png,145.png,left,50.png,145.png,right,145.png,no,541,aldksfjgakrj;fa,2026-01-27T18:01:48.158Z,,,,,,,,,,,,,,,,,,,,,,,,,,
pfjawrfpajwrd,pfjawrfpajwrd,,22,Trials,21,21_non-creaky.wav,http://127.0.0.1:5500/data/audio/21_non-creaky.wav,20.png,115.png,left,20.png,115.png,right,115.png,no,347,aldksfjgakrj;fa,2026-01-27T18:01:52.326Z,,,,,,,,,,,,,,,,,,,,,,,,,,
pfjawrfpajwrd,pfjawrfpajwrd,,23,Trials,203,203_creaky.wav,http://127.0.0.1:5500/data/audio/203_creaky.wav,64.png,159.png,left,64.png,159.png,left,64.png,yes,334,aldksfjgakrj;fa,2026-01-27T18:01:55.840Z,,,,,,,,,,,,,,,,,,,,,,,,,,
pfjawrfpajwrd,pfjawrfpajwrd,,24,Trials,195,195_creaky.wav,http://127.0.0.1:5500/data/audio/195_creaky.wav,54.png,149.png,right,149.png,54.png,right,54.png,yes,365,aldksfjgakrj;fa,2026-01-27T18:01:58.931Z,,,,,,,,,,,,,,,,,,,,,,,,,,
pfjawrfpajwrd,pfjawrfpajwrd,,25,Trials,141,141_non-creaky.wav,http://127.0.0.1:5500/data/audio/141_non-creaky.wav,179.png,84.png,left,179.png,84.png,left,179.png,yes,345,aldksfjgakrj;fa,2026-01-27T18:02:01.886Z,,,,,,,,,,,,,,,,,,,,,,,,,,
pfjawrfpajwrd,pfjawrfpajwrd,,26,Trials,131,131_non-creaky.wav,http://127.0.0.1:5500/data/audio/131_non-creaky.wav,163.png,68.png,right,68.png,163.png,right,163.png,yes,122,aldksfjgakrj;fa,2026-01-27T18:02:04.676Z,,,,,,,,,,,,,,,,,,,,,,,,,,
pfjawrfpajwrd,pfjawrfpajwrd,,27,Trials,178,178_creaky.wav,http://127.0.0.1:5500/data/audio/178_creaky.wav,34.png,129.png,left,34.png,129.png,left,34.png,yes,102,aldksfjgakrj;fa,2026-01-27T18:02:07.568Z,,,,,,,,,,,,,,,,,,,,,,,,,,
pfjawrfpajwrd,pfjawrfpajwrd,,28,Trials,110,110_non-creaky.wav,http://127.0.0.1:5500/data/audio/110_non-creaky.wav,135.png,40.png,right,40.png,135.png,right,135.png,yes,341,aldksfjgakrj;fa,2026-01-27T18:02:10.442Z,,,,,,,,,,,,,,,,,,,,,,,,,,
pfjawrfpajwrd,pfjawrfpajwrd,,,AttentionCheck,,,,,,,,,,,,,aldksfjgakrj;fa,2026-01-27T18:02:14.375Z,,,,,,,,,,,,,,,,,,,,,,,,,,
pfjawrfpajwrd,pfjawrfpajwrd,,29,Trials,209,209_creaky.wav,http://127.0.0.1:5500/data/audio/209_creaky.wav,72.png,167.png,left,72.png,167.png,left,72.png,yes,272,aldksfjgakrj;fa,2026-01-27T18:02:18.614Z,,,,,,,,,,,,,,,,,,,,,,,,,,
pfjawrfpajwrd,pfjawrfpajwrd,,30,Trials,29,29_non-creaky.wav,http://127.0.0.1:5500/data/audio/29_non-creaky.wav,28.png,123.png,right,123.png,28.png,right,28.png,yes,302,aldksfjgakrj;fa,2026-01-27T18:02:21.554Z,,,,,,,,,,,,,,,,,,,,,,,,,,
pfjawrfpajwrd,pfjawrfpajwrd,,31,Trials,65,65_non-creaky.wav,http://127.0.0.1:5500/data/audio/65_non-creaky.wav,72.png,167.png,right,167.png,72.png,left,167.png,no,470,aldksfjgakrj;fa,2026-01-27T18:02:24.781Z,,,,,,,,,,,,,,,,,,,,,,,,,,
pfjawrfpajwrd,pfjawrfpajwrd,,32,Trials,272,272_creaky.wav,http://127.0.0.1:5500/data/audio/272_creaky.wav,159.png,64.png,right,64.png,159.png,right,159.png,yes,510,aldksfjgakrj;fa,2026-01-27T18:02:28.437Z,,,,,,,,,,,,,,,,,,,,,,,,,,
pfjawrfpajwrd,pfjawrfpajwrd,,33,Trials,15,15_non-creaky.wav,http://127.0.0.1:5500/data/audio/15_non-creaky.wav,14.png,109.png,right,109.png,14.png,left,109.png,no,474,aldksfjgakrj;fa,2026-01-27T18:02:31.463Z,,,,,,,,,,,,,,,,,,,,,,,,,,
adfkdjfalwefj,adfkdjfalwefj,,,AttentionCheck,,,,,,,,,,,,,ergergf,2026-01-27T18:15:39.977Z,,,,,,,,,,,,,,,,,,,,,,,,,,
dfgasdfg,dfgasdfg,,,AttentionCheck,,,,,,,,,,,,,awergaerg,2026-01-27T18:56:38.423Z,,,,,,,,,,,,,,,,,,,,,,,,,,
rtgstrg,rtgstrg,,,AttentionCheck,,,,,,,,,,,,,rtsheydhneyrthn,2026-01-27T18:59:19.575Z,,,,,,,,,,,,,,,,,,,,,,,,,,
rtgstrg,rtgstrg,,1,Trials,97,97_non-creaky.wav,http://127.0.0.1:5500/data/audio/97_non-creaky.wav,112.png,16.png,left,112.png,16.png,left,112.png,yes,535,rtsheydhneyrthn,2026-01-27T18:59:25.656Z,,,,,,,,,,,,,,,,,,,,,,,,,,
rtgstrg,rtgstrg,,2,Trials,269,269_creaky.wav,http://127.0.0.1:5500/data/audio/269_creaky.wav,156.png,61.png,right,61.png,156.png,right,156.png,yes,511,rtsheydhneyrthn,2026-01-27T18:59:29.515Z,,,,,,,,,,,,,,,,,,,,,,,,,,
rtgstrg,rtgstrg,,3,Trials,252,252_creaky.wav,http://127.0.0.1:5500/data/audio/252_creaky.wav,129.png,34.png,right,34.png,129.png,left,34.png,no,404,rtsheydhneyrthn,2026-01-27T18:59:32.828Z,,,,,,,,,,,,,,,,,,,,,,,,,,
rtgstrg,rtgstrg,,4,Trials,60,60_non-creaky.wav,http://127.0.0.1:5500/data/audio/60_non-creaky.wav,65.png,160.png,right,160.png,65.png,right,65.png,yes,347,rtsheydhneyrthn,2026-01-27T18:59:35.597Z,,,,,,,,,,,,,,,,,,,,,,,,,,
