Participant,Date,Experiment,Experimenter,Segmenter 1,Seg 1?,Archived to circe-cassandra,Notes,Segmentation 1 Notes,Corrector,Corrected?,Phary-note?,Final Check?,Segmenter 2,Seg 2?,Archived to circe-cassandra,Notes,Segmentation 2 Notes,Corrector,Corrected?,Phary-note?,Final Check?,Did they vowel the first word?,L1 or L2?,Carrier Phrase,Notes,Location,Dialect,Acoustics Recorded?,Survey Completed?,UCSD SONA,NYUAD Payment,Paid for Survey?
SD0025,5/15/24,pharylary2,"BL, MK",MK,X,yes,no,,MK,X,,,OB,X,yes,,,,,,,no,L1,qʊl,,UCSD,Kuwaiti,X,X,yes,,
SD0026,5/21/24,pharylary2,"BL, HA",AN,X,yes,no,,AN,X,,,GR,X,yes,,,,,,,no,L1,qʊl,,UCSD,Lebanese,X,X,yes,,
SD0027,5/22/24,pharylary2,"BL, AD",AVD,X,yes,deduped,,AN,X,,,EM,X,yes,,,,,,,no,L1,qʊl,,UCSD,Egyptian,X,X,yes,,
SD0028,5/22/24,pharylary2,BL,ME,X,yes,deduped,,ME,X,,,AK,X,yes,,,,,,,no,L1,qʊl,"really great, ask back for other experiments",UCSD,Palestinian,X,X,yes,,
SD0029,5/22/24,pharylary2,BL,HF,X,yes,no,,HF,X,,,SS,X,,,,,,,,no,,qʊl,,UCSD,"Jordanian, Palestinian",X,X,yes,,
SD0030,6/4/24,pharylary2,"BL, HA",GG,X,yes,deduped,,AN,X,,,LM,X,yes,,,,,,,no,L1,qʊl,,UCSD,Syrian,X,X,yes,,
SD0031,6/5/24,pharylary2,"BL, AD",GO,X,yes,deduped,,AN,X,,,BL2,X,yes,,,,,,,no,L1,qʊl,,UCSD,Syrian,X,X,yes,,
SD0032,10/16/24,pharylary2,,,,,,,,,,,,,,,,,,,,,,,"did not do pharylary, only pilot for 1B",UCSD,Moroccan,,X,yes,,
SD0033,10/17/24,pharylary2,"BL, HF, GO",CV,X,yes,deduped,,MK,X,,,CHS,X,yes,,,,,,,no,L1,qʊl,,UCSD,Jordanian,X,X,yes,,
SD0034,10/24/24,pharylary2,"BL, AVD",GO,X,yes,check phrasenum for IPA,,AD,X,,,GG2,,,,,,,,,no,L1,qʊl,,UCSD,Moroccan,X,X,yes,,
SD0035,10/31/24,pharylary2,"BL, HF",AD,X,yes,no,,RR,X,,,TH,X,yes,,,,,,,no,L1,qʊl,use for 1B,UCSD,Egyptian,X,X,yes,,
SD0036,11/1/24,pharylary2,BL,RR,X,yes,deduped,,AD,X,,,AK,,,,,,,,,no,L1,qʊl,,UCSD,Saudi,X,X,yes,,
SD0037,11/7/24,pharylary2,"BL, AVD",JK,X,yes,no,,AD,X,,,CV,X,yes,,,,,,,no,L1,qʊl,use for 1B,UCSD,Jordanian,X,X,yes,,
SD0038,11/20/24,pharylary2,"BL, AVD",AVD,X,yes,no,,CV,X,,,EM,,,,,,,,,no,L1,qʊl,,UCSD,Derija,X,X,yes,,
SD0039,12/2/24,pharylary2,BL,JV,X,yes,no,,RR,X,,,FR,,,,,,,,,no,L1,qʊl,,UCSD,Egyptian,X,X,yes,,
