Phrasenum,Word,IPA,Minimal Pair,Gloss,Gloss_2,Carrier,Verified w/ Native?,Syllable,Segment,Type,Position,Position_2,Contrast_(IPA),Contrast,Experiment,Source,Notes
19,أنْ,ʔan,عن,that,,قُلْ أنْ واحد و خمسين مرة,X,CVC,ʔ,laryngeal,Initial,CV,ʔ - ʕ,laryngeal-pharyngeal,pharylary2,Twitter,
20,عَن,ʕan,أنْ,about,,قُلْ عَن واحد و خمسين مرة,X,CVC,ʕ,pharyngeal,Initial,CV,redundant,laryngeal-pharyngeal,pharylary2,,
21,حَنّ,ħanː,أنْ,"long, yearn",,قُلْ حَنّ واحد و خمسين مرة,X,CVC,ħ,pharyngeal,Initial,CV,redundant,laryngeal-pharyngeal,pharylary2,,
22,عِجّة,ʕɪdʒːa,حِجّة,omelette,,قُلْ عِجّة واحد و خمسين مرة,X,CVCːV,ʕ,pharyngeal,Medial,VCV,ʕ - ħ,pharyngeal-pharyngeal,pharylary2,Lisaaniyat,
23,حِجّة,ħɪdʒːa,عِجّة,pilgrimage,argument,قُلْ حِجّة واحد و خمسين مرة,X,CVCːV,ħ,pharyngeal,Medial,VCV,redundant,pharyngeal-pharyngeal,pharylary2,Lisaaniyat,
24,حِلَل,ħɪlal,حِلَل,pots and pans,analyze,قُلْ حِلَل واحد و خمسين مرة,X,CVCVC,ħ,pharyngeal,Initial,CV,ʕ - ħ,pharyngeal-pharyngeal,pharylary2,Lisaaniyat,
25,عِلَل,ʕɪlal,عِلَل,internal sickness,"explain, justify",قُلْ عِلَل واحد و خمسين مرة,X,CVCVC,ʕ,pharyngeal,Initial,CV,redundant,pharyngeal-pharyngeal,pharylary2,Lisaaniyat,
26,عاشَ,ʕaːʃa,حاشَ,live in,,قُلْ عاشَ واحد و خمسين مرة,X,CVːCV,ʕ,pharyngeal,Initial,CV,ʕ - ħ,pharyngeal-pharyngeal,pharylary2,Lisaaniyat,
27,حاشَ,ħaːʃa,عاشَ,distancing (god forbid),"to harvest, weed out",قُلْ حاشَ واحد و خمسين مرة,X,CVːCV,ħ,pharyngeal,Initial,CV,redundant,pharyngeal-pharyngeal,pharylary2,Lisaaniyat,
28,ساعة,saːʕa,ساحة,hour,,قُلْ ساعة واحد و خمسين مرة,X,CVːCV,ʕ,pharyngeal,Medial,VCV,ʕ - ħ,pharyngeal-pharyngeal,pharylary2,Lisaaniyat,
29,ساحة,saːħa,ساعة,plaza,,قُلْ ساحة واحد و خمسين مرة,X,CVːCV,ħ,pharyngeal,Medial,VCV,redundant,pharyngeal-pharyngeal,pharylary2,Lisaaniyat,
30,زَحَفَ,zaħafa,زَعَفَ,"it crawled, creeped",,قُلْ زَحَفَ واحد و خمسين مرة,X,CVCVCV,ħ,pharyngeal,Medial,VCV,ʕ - ħ,pharyngeal-pharyngeal,pharylary2,Lisaaniyat,
31,زَعَفَ,zaʕafa,زَحَفَ,to bludgeon,,قُلْ زَعَفَ واحد و خمسين مرة,X,CVCVCV,ʕ,pharyngeal,Medial,VCV,redundant,pharyngeal-pharyngeal,pharylary2,Lisaaniyat,
32,صين,sˤin,سين,China,,قُلْ صين واحد و خمسين مرة,X,CVC,sˤ,pharyngeal,Initial,CV,s - sˤ,plain-pharyngealized,pharylary2,Hermes et al. 2015,
33,سين,sin,صين,Letter name for /s/ in Arabic,,قُلْ سين واحد و خمسين مرة,X,CVC,s,plain,Initial,CV,redundant,plain-pharyngealized,pharylary2,Hermes et al. 2016,
34,نَسَّفَ,nasːafa,نَصَّف,he detonated a bomb,to obliterate,قُلْ نَسَّفَ واحد و خمسين مرة,X,CVCːVC,s,plain,Medial,VCV,s - sˤ,plain-pharyngealized,pharylary2,Hermes et al. 2017,
35,نَصَّفَ,nasˤːafa,نَسَّف,it was divided in half,,قُلْ نَصَّفَ واحد و خمسين مرة,X,CVCːVC,sˤ,pharyngeal,Medial,VCV,redundant,plain-pharyngealized,pharylary2,Hermes et al. 2018,
36,أَلَم,ʔalam,عَلَم,pain,,قُلْ أَلَم واحد و خمسين مرة,X,CVCVC,ʔ,laryngeal,Initial,CV,ʔ - ʕ,laryngeal-pharyngeal,pharylary2,Tubuly: Routledge Handbook of Arabic Second Language Acquisition,
37,عَلَم,ʕalam,أَلَم,flag,,قُلْ عَلَم واحد و خمسين مرة,X,CVCVC,ʕ,pharyngeal,Initial,CV,redundant,laryngeal-pharyngeal,pharylary2,Tubuly: Routledge Handbook of Arabic Second Language Acquisition,
38,تاء,taːʔ,تاهَ,the letter /t/ in Arabic,,قُلْ تاء واحد و خمسين مرة,X,CVːC,ʔ,laryngeal,Final,VC,ʔ - h,laryngeal-laryngeal,pharylary2,Zainab,Near Minimal Pair
39,تاهَ,taːha,تاء,he got lost,,قُلْ تاهَ واحد و خمسين مرة,X,CVːCV,h,laryngeal,Medial,VC,redundant,laryngeal-laryngeal,pharylary2,Zainab,Near Minimal Pair
40,شاءَ,ʃaːʔa,شاه,to will something,,قُلْ شاءَ واحد و خمسين مرة,X,CVːCV,ʔ,laryngeal,Medial,VC,ʔ - h,laryngeal-laryngeal,pharylary2,Zainab,Near Minimal Pair
41,شاه,ʃaːh,شاءَ,shah,,قُلْ شاه واحد و خمسين مرة,X,CVːC,h,laryngeal,Final,VC,redundant,laryngeal-laryngeal,pharylary2,Zainab,Near Minimal Pair
42,مُسائَلة,musaːʔala,مُساهَلة,"interrogation, questioning",,قُلْ مُسائَلة واحد و خمسين مرة,X,CVCVːCVCV,ʔ,laryngeal,Medial,VCV,ʔ - h,laryngeal-laryngeal,pharylary2,Zainab,
43,مُساهَلة,musaːhala,مُسائَلة,easying up,,قُلْ مُساهَلة واحد و خمسين مرة,X,CVCVːCVCV,h,laryngeal,Medial,VCV,redundant,laryngeal-laryngeal,pharylary2,Zainab,
44,أَمْس,ʔams,هَمْس,yesterday,,قُلْ أَمْس واحد و خمسين مرة,X,CVCC,ʔ,laryngeal,Initial,CV,ʔ - h,laryngeal-laryngeal,pharylary2,Zainab,
45,هَمْس,hams,أَمْس,whisper,,قُلْ هَمْس واحد و خمسين مرة,X,CVCC,h,laryngeal,Initial,CV,redundant,laryngeal-laryngeal,pharylary2,Zainab,
46,مَأْموم,maʔmuːm,مَهْموم,the one being lead,,قُلْ مَأْموم واحد و خمسين مرة,X,CVCCVːC,ʔ,laryngeal,Medial,VCV,ʔ - h,laryngeal-laryngeal,pharylary2,Zainab,
47,مَهْموم,mahmuːm,مَأْموم,"concerned, worried",,قُلْ مَهْموم واحد و خمسين مرة,X,CVCCVːC,h,laryngeal,Medial,VCV,redundant,laryngeal-laryngeal,pharylary2,Zainab,
48,يَلْقى,jalqa,حَلْقة,he finds,he meets,قُلْ يَلْقى واحد و خمسين مرة,X,CVCCV,j,sonorant,Initial,CV,j - ħ,sonorant-pharyngeal,pharylary2,Zainab,
49,حَلْقة,ħalqa,يَلْقى,"ring, loop",link of chain,قُلْ حَلْقة واحد و خمسين مرة,X,CVCCV,ħ,pharyngeal,Initial,CV,redundant,sonorant-pharyngeal,pharylary2,Zainab,
50,رَبِحَ,ɾabɪħa,رَبِيَ,he won,,قُلْ رَبِحَ واحد و خمسين مرة,X,CVCVCV,ħ,pharyngeal,Medial,VCV,j - ħ,sonorant-pharyngeal,pharylary2,Zainab,
51,رَبِيَ,ɾabɪja,رَبِحَ,he grew up,,قُلْ رَبِيَ واحد و خمسين مرة,X,CVCVCV,j,sonorant,Medial,VCV,redundant,sonorant-pharyngeal,pharylary2,Zainab,
52,وَباء,wabaːʔ,هباء,pandemic,plague,قُلْ وَباء واحد و خمسين مرة,X,CVCVːC,w,sonorant,Initial,CV,w - h,sonorant-laryngeal,pharylary2,Zainab,
53,هَباء,habaːʔ,وباء,in vain,dust in the wind,قُلْ هَباء واحد و خمسين مرة,X,CVCVːC,h,laryngeal,Initial,CV,redundant,sonorant-laryngeal,pharylary2,Zainab,
54,وَرَم,waɾam,هَرَم,tumor,to swell,قُلْ وَرَم واحد و خمسين مرة,X,CVCVC,w,sonorant,Initial,CV,w - h,sonorant-laryngeal,pharylary2,Zainab,
55,هَرَم,haɾam,وَرَم,pyramid,,قُلْ هَرَم واحد و خمسين مرة,X,CVCVC,h,laryngeal,Initial,CV,redundant,sonorant-laryngeal,pharylary2,Zainab,
56,شاوِر,ʃaːwɪɾ,شاهِر,consult,,قُلْ شاوِر واحد و خمسين مرة,X,CVːCVC,w,sonorant,Medial,VCV,w - h,sonorant-laryngeal,pharylary2,Zainab,
57,شاهِر,ʃaːhɪɾ,شاوِر,brandish (sword),"make famous, make public",قُلْ شاهِر واحد و خمسين مرة,X,CVːCVC,h,laryngeal,Medial,VCV,redundant,sonorant-laryngeal,pharylary2,Zainab,
58,يَوم,ja͡ʊm,عَوم,day,,قُلْ يَوم واحد و خمسين مرة,X,CVC,j,sonorant,Initial,CV,j - ʕ,sonorant-pharyngeal,pharylary2,Zainab,
59,عَوم,ʕa͡ʊm,يَوم,swimming,,قُلْ عَوم واحد و خمسين مرة,X,CVC,ʕ,pharyngeal,Initial,CV,redundant,sonorant-pharyngeal,pharylary2,Zainab,
60,عَم,ʕam,يَم,uncle,,قُلْ عَم واحد و خمسين مرة,X,CVC,ʕ,pharyngeal,Initial,CV,j - ʕ,sonorant-pharyngeal,pharylary2,Zainab,
61,يَم,jam,عَم,sea,,قُلْ يَم واحد و خمسين مرة,X,CVC,j,sonorant,Initial,CV,redundant,sonorant-pharyngeal,pharylary2,Zainab,
62,نَعى,naʕa,نَوى,eulogize,,قُلْ نَعى واحد و خمسين مرة,X,CVCV,ʕ,pharyngeal,Medial,VCV,w - ʕ,sonorant-pharyngeal,pharylary2,Zainab,
63,نَوى,nawa,نَعى,intend,,قُلْ نَوى واحد و خمسين مرة,X,CVCV,w,sonorant,Medial,VCV,redundant,sonorant-pharyngeal,pharylary2,Zainab,
64,وَليمة,waliːma,أَليمة,feast,,قُلْ وَليمة واحد و خمسين مرة,X,CVCVːCV,w,sonorant,Initial,CV,w - ʔ,sonorant-laryngeal,pharylary2,Zainab,
65,أَليمة,ʔaliːma,وَليمة,painful (causing me pain),,قُلْ أَليمة واحد و خمسين مرة,X,CVCVːCV,ʔ,laryngeal,Initial,CV,redundant,sonorant-laryngeal,pharylary2,Zainab,
66,وَقود,waquːd ,أَقود,fuel,,قُلْ وَقود واحد و خمسين مرة,X,CVCVːC,w,sonorant,Initial,CV,w - ʔ,sonorant-laryngeal,pharylary2,Zainab,
67,أَقود,ʔaquːd,وَقود,drive,,قُلْ أَقود واحد و خمسين مرة,X,CVCVːC,ʔ,laryngeal,Initial,CV,redundant,sonorant-laryngeal,pharylary2,Zainab,
68,بَيدَ,ba͡ɪda,بَيضة,although,,قُلْ بَيدَ واحد و خمسين مرة,X,CVCV,d,plain,Medial,VC,d - dˤ,plain-pharyngealized,pharylary2,Zainab,
69,بَيضة,ba͡ɪdˤa,بَيدَ,egg,,قُلْ بَيضة واحد و خمسين مرة,X,CVCV,dˤ,pharyngealized,Medial,VC,redundant,plain-pharyngealized,pharylary2,Zainab,
70,أَليف,ʔaliːf,حَليف,domestic,pet animal,قُلْ أَليف واحد و خمسين مرة,X,CVCVːC,ʔ,laryngeal,Initial,CV,ʔ - ħ,laryngeal-pharyngeal,pharylary2,Zainab,
71,حَليف,ħaliːf,أَليف,ally,supporter,قُلْ حَليف واحد و خمسين مرة,X,CVCVːC,ħ,pharyngeal,Initial,CV,redundant,laryngeal-pharyngeal,pharylary2,Zainab,
72,سَماء,samaːʔ,سَماح,sky,,قُلْ سَماء واحد و خمسين مرة,X,CVCVːC,ʔ,laryngeal,Final,VC,ʔ - ħ,laryngeal-pharyngeal,pharylary2,Zainab,
73,سَماح,samaːħ,سَماء,permission,,قُلْ سَماح واحد و خمسين مرة,X,CVCVːC,ħ,pharyngeal,Final,VC,redundant,laryngeal-pharyngeal,pharylary2,Zainab,
74,ساءَ,saːʔa,ساح,deteriorate,,قُلْ ساءَ واحد و خمسين مرة,X,CVːCV,ʔ,laryngeal,Final,VC,ʔ - ħ,laryngeal-pharyngeal,pharylary2,Zainab,
75,ساحَ,saːħa,ساء,to tour,to melt,قُلْ ساحَ واحد و خمسين مرة,X,CVːCV,ħ,pharyngeal,Final,VC,redundant,laryngeal-pharyngeal,pharylary2,Zainab,
76,يَتَأَلَّم,jataʔalːam,يَتَحَلَّم,he was in pain,,قُلْ يَتَأَلَّم واحد و خمسين مرة,X,CVCVCVCːVC,ʔ,laryngeal,Medial,VCV,ʔ - ħ,laryngeal-pharyngeal,pharylary2,Zainab,
77,يَتَحَلَّم,jataħalːam,يَتَأَلَّم,he became patient,to day dream,قُلْ يَتَحَلَّم واحد و خمسين مرة,X,CVCVCVCːVC,ħ,pharyngeal,Medial,VCV,redundant,laryngeal-pharyngeal,pharylary2,Zainab,
78,بَراءة,baraːʔa,بَراح,innocence,,قُلْ بَراءة واحد و خمسين مرة,X,CVCVːC,ʔ,laryngeal,Final,VC,ʔ - ħ,laryngeal-pharyngeal,pharylary2,Zainab,
79,بَراح,baraːħ,بَراء,"obvious, clear",,قُلْ بَراح واحد و خمسين مرة,X,CVCVːC,ħ,pharyngeal,Final,VC,redundant,laryngeal-pharyngeal,pharylary2,Zainab,
80,مَليئة,maliːʔa,مَليحة,full,,قُلْ مَليئة واحد و خمسين مرة,X,CVCVːCV,ʔ,laryngeal,Medial,VCV,ʔ - ħ,laryngeal-pharyngeal,pharylary2,Zainab,
81,مَليحة,maliːħa,مَليئة,beautiful,salty,قُلْ مَليحة واحد و خمسين مرة,X,CVCVːCV,ħ,pharyngeal,Medial,VCV,redundant,laryngeal-pharyngeal,pharylary2,Zainab,
82,سَبَأ,sabaʔ,سَبَح,region in Yemen,,قُلْ سَبَأ واحد و خمسين مرة,X,CVCVC,ʔ,laryngeal,Final,VC,ʔ - ħ,laryngeal-pharyngeal,pharylary2,Zainab,
83,سَبَح,sabaħ,سبأ,he swam,,قُلْ سَبَح واحد و خمسين مرة,X,CVCVC,ħ,pharyngeal,Final,VC,redundant,laryngeal-pharyngeal,pharylary2,Zainab,
84,مُكافأة,mʊkæːfaʔa,مُكافَحة,award,reward,قُلْ مُكافأة واحد و خمسين مرة,X,CVCVːCVCV,ʔ,laryngeal,Medial,VCV,ʔ - ħ,laryngeal-pharyngeal,pharylary2,Zainab,
85,مُكافَحة,mʊkæːfaħa,مُكافأة,fighting against,struggle,قُلْ مُكافَحة واحد و خمسين مرة,X,CVCVːCVCV,ħ,pharyngeal,Medial,VCV,redundant,laryngeal-pharyngeal,pharylary2,Zainab,
86,مَأْمور,maʔmuːr,مَحْمور,an official,,قُلْ مَأْمور واحد و خمسين مرة,X,CVCCVːC,ʔ,laryngeal,Medial,VCV,ʔ - ħ,laryngeal-pharyngeal,pharylary2,Zainab,
87,مَحْمور,maħmuːr,مَأْمور,reddish,?,قُلْ مَحْمور واحد و خمسين مرة,X,CVCCVːC,ħ,pharyngeal,Medial,VCV,redundant,laryngeal-pharyngeal,pharylary2,Zainab,
88,أَليم,ʔaliːm,عَليم,painful,,قُلْ أَليم واحد و خمسين مرة,X,CVCVːC,ʔ,laryngeal,Initial,CV,ʔ - ʕ,laryngeal-pharyngeal,pharylary2,Zainab,
89,عَليم,ʕaliːm,أَليم,knowledgeable,,قُلْ عَليم واحد و خمسين مرة,X,CVCVːC,ʕ,pharyngeal,Initial,CV,redundant,laryngeal-pharyngeal,pharylary2,Zainab,
90,مُفاجَئة,mʊfæːdʒaʔa,مُفاجَعة,surprise,,قُلْ مُفاجَئة واحد و خمسين مرة,X,CVCVːCVCV,ʔ,laryngeal,Medial,VCV,ʔ - ʕ,laryngeal-pharyngeal,pharylary2,Zainab,
91,مُفاجَعة,mʊfæːdʒaʕa,مُفاجَئة,calamitous,,قُلْ مُفاجَعة واحد و خمسين مرة,X,CVCVːCVCV,ʕ,pharyngeal,Medial,VCV,redundant,laryngeal-pharyngeal,pharylary2,Zainab,
92,تَأَثَّر,taʔaθːar,تَعَثَّر,he was affected,,قُلْ تَأَثَّر واحد و خمسين مرة,X,CVCVCːVC,ʔ,laryngeal,Medial,VCV,ʔ - ʕ,laryngeal-pharyngeal,pharylary2,Zainab,
93,تَعَثَّر,taʕaθːar,تَأَثَّر,he stumbled,,قُلْ تَعَثَّر واحد و خمسين مرة,X,CVCVCːVC,ʕ,pharyngeal,Medial,VCV,redundant,laryngeal-pharyngeal,pharylary2,Zainab,
94,تَأَلَّم,taʔalːam,تَعَلَّم,he was in pain,,قُلْ تَأَلَّم واحد و خمسين مرة,X,CVCVCːVC,ʔ,laryngeal,Medial,VCV,ʔ - ʕ,laryngeal-pharyngeal,pharylary2,Zainab,
95,تَعَلَّم,taʕalːam,تَأَلَّم,he learned,,قُلْ تَعَلَّم واحد و خمسين مرة,X,CVCVCːVC,ʕ,pharyngeal,Medial,VCV,redundant,laryngeal-pharyngeal,pharylary2,Zainab,
96,شاءَ,ʃæːʔa,شاعَ,he willed,,قُلْ شاءَ واحد و خمسين مرة,X,CVːCV,ʔ,laryngeal,Medial,VC,ʔ - ʕ,laryngeal-pharyngeal,pharylary2,Zainab,
97,شاعَ,ʃæːʕa,شاءَ,became widespread,,قُلْ شاعَ واحد و خمسين مرة,X,CVːCV,ʕ,pharyngeal,Medial,VC,redundant,laryngeal-pharyngeal,pharylary2,Zainab,
98,جاءَ,dʒæːʔa,جاعَ,he came,,قُلْ جاءَ واحد و خمسين مرة,X,CVːCV,ʔ,laryngeal,Medial,VC,ʔ - ʕ,laryngeal-pharyngeal,pharylary2,Zainab,
99,جاعَ,dʒæːʕa,جاءَ,he became hungry,,قُلْ جاعَ واحد و خمسين مرة,X,CVːCV,ʕ,pharyngeal,Medial,VC,redundant,laryngeal-pharyngeal,pharylary2,Zainab,
100,أضاءَ,ʔadˤɑːʔa,أضاعَ,he lit [something],,قُلْ أضاءَ واحد و خمسين مرة,X,CVCVCV,ʔ,laryngeal,Medial,VC,ʔ - ʕ,laryngeal-pharyngeal,pharylary2,Zainab,
101,أضاعَ,ʔadˤɑːʕa,أضاءَ,he lost [something],,قُلْ أضاعَ واحد و خمسين مرة,X,CVCVCV,ʕ,pharyngeal,Medial,VC,redundant,laryngeal-pharyngeal,pharylary2,Zainab,
102,سُؤال,sʊʔæːl,سُعال,question,,قُلْ سُؤال واحد و خمسين مرة,X,CVCVːC,ʔ,laryngeal,Medial,VCV,ʔ - ʕ,laryngeal-pharyngeal,pharylary2,Zainab,
103,سُعال,sʊʕæːl,سُؤال,heavy coughing,,قُلْ سُعال واحد و خمسين مرة,X,CVCVːC,ʕ,pharyngeal,Medial,VCV,redundant,laryngeal-pharyngeal,pharylary2,Zainab,
104,تَوَجّه,tawadʒːah,تَوَجّع,he headed toward,,قُلْ تَوَجّه واحد و خمسين مرة,X,CVCVCːVC,h,laryngeal,Final,VC,ʕ - h,laryngeal-pharyngeal,pharylary2,Zainab,
105,تَوَجّع,tawadʒːaʕ,تَوَجّه,he was in pain,,قُلْ تَوَجّع واحد و خمسين مرة,X,CVCVCːVC,ʕ,pharyngeal,Final,VC,redundant,laryngeal-pharyngeal,pharylary2,Zainab,
106,مُهَرِّج,mʊharːɪdʒ,مُعَرِّج,clownish,,قُلْ مُهَرِّج واحد و خمسين مرة,X,CVCVCːVC,h,laryngeal,Medial,VCV,ʕ - h,laryngeal-pharyngeal,pharylary2,Zainab,
107,مُعَرِّج,mʊʕarːɪdʒ,مُهَرِّج,swerving,,قُلْ مُعَرِّج واحد و خمسين مرة,X,CVCVCːVC,ʕ,pharyngeal,Medial,VCV,redundant,laryngeal-pharyngeal,pharylary2,Zainab,
108,سَهَّرَ,sahːara,سَعَّر,he made someone stay late,,قُلْ سَهَّرَ واحد و خمسين مرة,X,CVCːVC,h,laryngeal,Medial,VCV,ʕ - h,laryngeal-pharyngeal,pharylary2,Zainab,
109,سَعَّرَ,saʕːara,سَهَّر,he priced [something],,قُلْ سَعَّرَ واحد و خمسين مرة,X,CVCːVC,ʕ,pharyngeal,Medial,VCV,redundant,laryngeal-pharyngeal,pharylary2,Zainab,
110,هَبَدَ,habada,عَبَدَ,he flung down or forcefully threw,,قُلْ هَبَدَ واحد و خمسين مرة,X,CVCVCV,h,laryngeal,Initial,CV,ʕ - h,laryngeal-pharyngeal,pharylary2,Zainab,
111,عَبَدَ,ʕabada,هَبَدَ,he worshipped,,قُلْ عَبَدَ واحد و خمسين مرة,X,CVCVCV,ʕ,pharyngeal,Initial,CV,redundant,laryngeal-pharyngeal,pharylary2,Zainab,
112,هَديل,hadiːl,عَديل,cooing of doves,common female name,قُلْ هَديل واحد و خمسين مرة,X,CVCVːC,h,laryngeal,Initial,CV,ʕ - h,laryngeal-pharyngeal,pharylary2,Zainab,
113,عَديل,ʕadiːl,هَديل,in-law,,قُلْ عَديل واحد و خمسين مرة,X,CVCVːC,ʕ,pharyngeal,Initial,CV,redundant,laryngeal-pharyngeal,pharylary2,Zainab,
114,هُموم,hʊmuːm,عُموم,worries,,قُلْ هُموم واحد و خمسين مرة,X,CVCVːC,h,laryngeal,Initial,CV,ʕ - h,laryngeal-pharyngeal,pharylary2,Zainab,
115,عُموم,ʕʊmuːm,هُموم,"general, public, common",,قُلْ عُموم واحد و خمسين مرة,X,CVCVːC,ʕ,pharyngeal,Initial,CV,redundant,laryngeal-pharyngeal,pharylary2,Zainab,
116,وَلَه,walah,وَلَع,sadness,,قُلْ وَلَه واحد و خمسين مرة,X,CVCVC,h,laryngeal,Final,VC,ʕ - h,laryngeal-pharyngeal,pharylary2,Zainab,
117,وَلَع,walaʕ,وَلَه,infatuation,,قُلْ وَلَع واحد و خمسين مرة,X,CVCVC,ʕ,pharyngeal,Final,VC,redundant,laryngeal-pharyngeal,pharylary2,Zainab,
118,هَبّة,habːa,حَبّة,uprising,,قُلْ هَبّة واحد و خمسين مرة,X,CVCːV,h,laryngeal,Initial,CV,h - ħ,laryngeal-pharyngeal,pharylary2,Zainab,
119,حَبّة,ħabːa,هَبّة,seed,,قُلْ حَبّة واحد و خمسين مرة,X,CVCːV,ħ,pharyngeal,Initial,CV,redundant,laryngeal-pharyngeal,pharylary2,Zainab,
120,إِبْهار,ʔɪbhɑːr,إِبْحار,dazzlement,,قُلْ إِبْهار واحد و خمسين مرة,X,CVCCVːC,h,laryngeal,Medial,VCV,h - ħ,laryngeal-pharyngeal,pharylary2,Zainab,
121,إِبْحار,ʔɪbħɑːr,إِبْهار,sailing,navigation,قُلْ إِبْحار واحد و خمسين مرة,X,CVCCVːC,ħ,pharyngeal,Medial,VCV,redundant,laryngeal-pharyngeal,pharylary2,Zainab,
122,يُهْبِط,jʊhbɪtˤ,يُحْبِط,he brought down,to land a plane,قُلْ يُهْبِط واحد و خمسين مرة,X,CVCCVC,h,laryngeal,Medial,VCV,h - ħ,laryngeal-pharyngeal,pharylary2,Zainab,
123,يُحْبِط,jʊħbɪtˤ,يُهْبِط,to defeat,to thwart,قُلْ يُحْبِط واحد و خمسين مرة,X,CVCCVC,ħ,pharyngeal,Medial,VCV,redundant,laryngeal-pharyngeal,pharylary2,Zainab,
124,رَفَه,rafah,رَفَح,luxury,facilitated easily (find word in English),قُلْ رَفَه واحد و خمسين مرة,X,CVCVC,h,laryngeal,Final,VC,h - ħ,laryngeal-pharyngeal,pharylary2,Zainab,
125,رَفَح,rafaħ,رَفَه,Rafah (city in Gaza),,قُلْ رَفَح واحد و خمسين مرة,X,CVCVC,ħ,pharyngeal,Final,VC,redundant,laryngeal-pharyngeal,pharylary2,Zainab,
126,دَرْب,daɾb,ضَرْب,path,,قُلْ دَرْب واحد و خمسين مرة,X,CVCC,d,plain,Initial,CV,d - dˤ,plain-pharyngealized,pharylary2,Personal Knowledge,/r/
